Dataset,Kernel_Type,Hyperparams,Num_Training_RFFs,exact_nmll,approx_nmll,condition_number
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-2.4095739614306826_0.45807946314363024_-0.11275100993260345,4096,1383491.2007559165,1383491.4088659638,5.162471497473805
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-2.948871725587136_-0.8201228742954816_-13.70701213465192,4096,4827510.827967672,4827510.827967318,1893530.9911954834
fluorescence_eval/conv_features/onehot_conv/standard,RBF,0.05967352030413764_-1.7568121515457622_-4.789597347893716,4096,37650.972909544325,37650.97018939855,684.7974597279548
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-4.10448598162773_1.417439524709334_3.692901855377368,4096,41521413.70266741,41521410.43668103,5.165730846863759
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-3.9708118728679507_1.6542718079123344_-7.59799567486182,4096,7358190.119225042,7358179.071663837,2057333563.1801846
fluorescence_eval/conv_features/onehot_conv/standard,RBF,0.5720736790518393_1.2428555845383862_-1.7447115159988744,4096,50112.00503444181,50110.62032018342,6.704625222724184
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-4.801318616251949_-1.5068695392526181_-5.998305290842343,4096,43403081.917010024,43403076.456423566,19229019.409879472
gb1_eval/onehot/three_vs_rest,RBF,-5.512031784129487_1.5523985521904087_-10.515873745582104,4096,77720768.57473463,77720768.57473488,3681297713.1090245
gb1_eval/onehot/three_vs_rest,RBF,-6.6287311340787625_0.24641247992572346_-5.916607463956369,4096,401730121.0044655,401730121.0046915,2521025006.5251975
gb1_eval/onehot/three_vs_rest,RBF,1.0002192160806356_-1.4105626547188344_-7.177550106565609,4096,5348.027873291524,5348.027873291524,22.67376318296534
gb1_eval/onehot/three_vs_rest,RBF,-1.0084407491211076_1.7928086146860385_-8.992957511595986,4096,9874.144886585625,9874.144886588962,729539.0715105018
gb1_eval/onehot/three_vs_rest,RBF,-0.570134680476488_-1.4595489872692282_-0.18135209152607956,4096,3461.210299538638,3460.549463529954,53.20183348947795
gb1_eval/onehot/three_vs_rest,RBF,-4.207455871665497_-1.0657341496302346_-9.582043223306965,4096,6063479.786095795,6063479.786095796,1441381.0615995545
gb1_eval/onehot/three_vs_rest,RBF,-3.4939318885193_-0.7130193464027346_-2.5302339109608756,4096,651234.3645434508,651234.2960044849,685757.2491621727
gb1_eval/onehot/three_vs_rest,RBF,-1.8907410373599491_1.0382364858081843_-8.382251832070587,4096,56357.11355849754,56357.11355849645,941871.4581600345
gb1_eval/onehot/two_vs_rest,RBF,1.9392715049226492_0.18083970915979197_-1.300055230380842,4096,1094.9416842827795,1094.9416842827777,10.343941096174028
gb1_eval/onehot/two_vs_rest,RBF,-0.5686533362039672_-1.4460528277816094_-11.144061435870315,4096,729.6074444529954,729.6074444529941,66.8909031829517
gb1_eval/onehot/two_vs_rest,RBF,-2.6521744111348706_0.09121900107535375_-8.804261011914695,4096,37673.18954832549,37673.18954832555,92004.89087324755
gb1_eval/onehot/two_vs_rest,RBF,-5.248780049504714_0.016307343192145662_-1.6645231354596834,4096,31393.3943776056,31393.394377528828,12997872.350751786
gb1_eval/onehot/two_vs_rest,RBF,-4.800848901357684_-1.171065656243305_3.7743801498939753,4096,1952.7944917332752,1952.7944917327222,4047.9628289065836
gb1_eval/onehot/two_vs_rest,RBF,-0.23124462208897256_-1.9366386043210566_4.26654344170516,4096,561.1886919111262,561.1886919111265,1.1025146878015932
gb1_eval/onehot/two_vs_rest,RBF,-6.829502695576932_-0.9774960543451343_3.0822247761716213,4096,1439.6173352264886,1439.6173352276237,220926.479217609
gb1_eval/onehot/two_vs_rest,RBF,-6.167357049306163_1.4752211416839347_-11.150454410120457,4096,42850715.69181379,42850715.691813685,1656472271.2775483
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-5.256883944456666_1.183923692385385_2.678810119341847,4096,1294521173.8592126,1294521173.071063,2.6071566720390673
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-2.664235314803217_-1.919392406783632_-8.007373022700286,4096,3919396.966938793,3919396.596920681,329372.08701004245
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-6.7668992439213955_-0.6272690094337414_-1.6705711887582275,4096,26491342602.789433,26491342601.926247,2.6141116371310886
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-4.465024429342329_0.6322285755440316_3.2693060403758274,4096,265162987.66389963,265162987.988064,2.596767854686633
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-2.6144586518490636_-1.218097093425897_3.1815139604422313,4096,6444821.246789536,6444820.334238481,2.5948099212660307
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,1.8039060508830467_-1.5183846997465928_2.756443657534973,4096,203360.9936507211,203361.0644825918,1.0218258093726464
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-4.216962013011117_-1.5463748591690272_-11.640457543875037,4096,156500548.72409347,156500548.71313995,15510692.509087883
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,0.08703842649592364_-1.7116194646135274_0.24226407019866159,4096,106196.31747017831,106195.19621438623,1.3619754645690008
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,-4.700786837328591_-0.337768722184151_-11.181027060346574,4096,172565779.1600524,172565778.59336275,387992546.861753
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,-0.896444296975818_-0.17556339468521887_-6.560891072829591,4096,63318.98111216126,63316.99388834196,263300.495049243
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,0.5035582057466197_-0.17045136397348393_-1.0763510036511175,4096,103721.10054487351,103720.32868048124,2.271590892334152
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,0.29463028821411985_0.4777777214959049_3.893964184744565,4096,99179.31639679005,99177.03610910731,2.7050017276656364
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,-1.8339809587790041_-1.168594046968586_-3.833714969699855,4096,267926.971332212,267927.0013388902,2110.2348584367583
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,-4.655302245165434_-1.7328942194160963_0.11719406086987227,4096,325817933.9094075,325817931.04704887,2.829120145758611
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,-4.471642829733597_-0.7750476338083752_4.3904376969714285,4096,225429362.17496377,225429358.66057292,2.830540417414296
aav_eval/conv_features/onehot_conv/seven_vs_many_split,RBF,-3.218481311329765_-0.24407613186424948_3.142544739507798,4096,18236763.688881684,18236765.956424564,2.841835362366633
