Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Fitting_Time,Spearmanr,optimizer
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,Conv1d,[-0.852417  -1.6094379 -0.8028037],3000,8192,79.9054572582245,0.761347733298022,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,Conv1d,[-0.852417  -1.6094379 -0.835578 ],3000,8192,98.8548853397369,0.762133066435834,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,Conv1d,[-0.852417  -1.6094379 -0.820132 ],3000,8192,96.2503898143768,0.75687498148722,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,Conv1d,[-0.852417  -1.6094379 -0.8028037],3000,16384,205.599321365356,0.781194515448924,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,Conv1d,[-0.852417  -1.6094379 -0.835578 ],3000,16384,214.259666442871,0.780953715149161,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,Conv1d,[-0.852417  -1.6094379 -0.820132 ],3000,16384,213.497806310654,0.777999686596324,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.7899   ],3000,8192,80.5887560844421,0.765041709113308,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.7914761],3000,8192,96.6395168304443,0.760054021516128,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.7825066],3000,8192,104.525683879852,0.768314850824031,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.7899   ],3000,16384,215.111110210419,0.773666722504862,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.7914761],3000,16384,214.937656879425,0.775595295491252,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.7825066],3000,16384,217.997921228409,0.776168787761227,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,Conv1d,[-0.6826397 -1.6094379 -0.4812296],3000,8192,34.4750156402588,0.730218608746177,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,Conv1d,[-0.6826397 -1.6094379 -0.4520782],3000,8192,34.2212607860565,0.743729995004667,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,Conv1d,[-0.6826397 -1.6094379 -0.4604399],3000,8192,34.3381922245026,0.739250902102291,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,Conv1d,[-0.6826397 -1.6094379 -0.4812296],3000,16384,70.5107872486115,0.742547614072014,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,Conv1d,[-0.6826397 -1.6094379 -0.4520782],3000,16384,73.8581013679504,0.764019971404938,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,Conv1d,[-0.6826397 -1.6094379 -0.4604399],3000,16384,73.9017989635468,0.751072902044237,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,FHTConv1d,[-0.6826397 -1.6094379 -0.5116856],3000,8192,34.3616189956665,0.733239014005803,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,FHTConv1d,[-0.6826397 -1.6094379 -0.4975708],3000,8192,34.3179934024811,0.726128540143086,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,FHTConv1d,[-0.6826397 -1.6094379 -0.4868018],3000,8192,34.1593840122223,0.742103171552115,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,FHTConv1d,[-0.6826397 -1.6094379 -0.5116856],3000,16384,70.5841450691223,0.748766293852751,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,FHTConv1d,[-0.6826397 -1.6094379 -0.4975708],3000,16384,70.5001916885376,0.748997229966433,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/mut_des_split,FHTConv1d,[-0.6826397 -1.6094379 -0.4868018],3000,16384,70.5939075946808,0.749901785218812,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,Conv1d,[-0.7729011 -0.6412537 -0.9537029],3000,8192,0.554061651229858,0.577684139534596,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,Conv1d,[-0.8072863 -0.7893578 -0.8495968],3000,8192,0.551172733306885,0.569936501056575,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,Conv1d,[-0.7729011 -0.8013749 -0.8910864],3000,8192,0.545657157897949,0.560950952217948,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,Conv1d,[-0.7729011 -0.6412537 -0.9537029],3000,16384,0.987227916717529,0.576790860993239,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,Conv1d,[-0.8072863 -0.7893578 -0.8495968],3000,16384,1.04515314102173,0.56387207132596,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,Conv1d,[-0.7729011 -0.8013749 -0.8910864],3000,16384,1.01992297172546,0.562432414538955,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,[-0.8072863 -0.8486924 -0.8321154],3000,8192,0.535132646560669,0.581334397497355,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,[-0.7621557 -0.8209027 -0.8656593],3000,8192,0.519417285919189,0.572637266258268,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,[-0.6826397 -0.2993733 -1.1122107],3000,8192,0.5356125831604,0.570360145212622,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,[-0.8072863 -0.8486924 -0.8321154],3000,16384,0.992795944213867,0.562482198675286,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,[-0.7621557 -0.8209027 -0.8656593],3000,16384,0.963076114654541,0.560542709771823,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,[-0.6826397 -0.2993733 -1.1122107],3000,16384,0.994180917739868,0.558351124710606,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.5077772],3000,8192,41.065541267395,0.715804134447137,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.4604399],3000,8192,37.3299670219421,0.708144954470574,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.4604399],3000,8192,38.0273361206055,0.711910480733469,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.5077772],3000,16384,59.4460208415985,0.727552285537182,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.4604399],3000,16384,63.2567853927612,0.726292847626171,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.4604399],3000,16384,63.1937563419342,0.722573238477616,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.4914476],3000,8192,31.7534158229828,0.713475817846615,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.470445 ],3000,8192,39.022887468338,0.711022801593254,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.4451389],3000,8192,41.5811717510223,0.710023771772576,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.4914476],3000,16384,68.3692827224732,0.725156555332218,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.470445 ],3000,16384,59.9939150810242,0.725004335965474,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.4451389],3000,16384,65.973046541214,0.72329367605888,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.3672003],3000,8192,11.3764181137085,0.564422242977817,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.3672003],3000,8192,11.3003122806549,0.591499457217696,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.3924744],3000,8192,11.2741765975952,0.580888120397339,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.3672003],3000,16384,22.0176410675049,0.601913227856065,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.3672003],3000,16384,22.5811648368835,0.603383269158118,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,Conv1d,[-0.7277704 -1.6094379 -0.3924744],3000,16384,21.9017384052277,0.580464529383222,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.3745209],3000,8192,11.3011989593506,0.57123505854427,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.4157507],3000,8192,11.0022885799408,0.57310834117156,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.3853916],3000,8192,11.314968585968,0.565484399807444,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.3745209],3000,16384,21.9590518474579,0.598997767787879,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.4157507],3000,16384,21.8447470664978,0.563212765987895,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.3853916],3000,16384,21.9401915073395,0.609015410941236,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/des_mut_split,RBF,[-0.9426783 -0.6907212 -1.929926 ],3000,8192,29.0182280540466,0.726860712076652,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/des_mut_split,RBF,[-0.9426783 -0.7877618 -1.8605029],3000,8192,22.7108221054077,0.722299471402425,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/des_mut_split,RBF,[-0.9426783 -0.7518567 -1.8843911],3000,8192,22.8311328887939,0.728388395212203,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/des_mut_split,RBF,[-0.9426783 -0.6907212 -1.929926 ],3000,16384,52.1329436302185,0.749292346003484,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/des_mut_split,RBF,[-0.9426783 -0.7877618 -1.8605029],3000,16384,45.3291389942169,0.739920235430146,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/des_mut_split,RBF,[-0.9426783 -0.7518567 -1.8843911],3000,16384,45.9696955680847,0.739369198429657,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,[-0.7277704 -0.1315824 -1.4347631],3000,8192,15.8720240592957,0.767427397587334,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,[-0.7277704 -0.1723395 -1.4118526],3000,8192,10.1232676506042,0.761809598449014,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,[-0.7277704 -0.1160559 -1.4347631],3000,8192,10.1201319694519,0.754400608703566,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,[-0.7277704 -0.1315824 -1.4347631],3000,16384,25.9629397392273,0.784796230018399,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,[-0.7277704 -0.1723395 -1.4118526],3000,16384,19.5104010105133,0.778819174402619,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,[-0.7277704 -0.1160559 -1.4347631],3000,16384,19.6159121990204,0.781500210693462,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/one_vs_many_split,RBF,[-1.0221943  0.9051809 -1.6515516],3000,8192,0.337197303771973,0.606749668839866,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/one_vs_many_split,RBF,[-1.0221943  0.8285188 -1.5649083],3000,8192,0.353900671005249,0.608579499168032,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/one_vs_many_split,RBF,[-1.0221943  0.6703426 -1.4081528],3000,8192,0.333189487457275,0.64888841794149,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/one_vs_many_split,RBF,[-1.0221943  0.9051809 -1.6515516],3000,16384,0.509778261184692,0.5965551997451,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/one_vs_many_split,RBF,[-1.0221943  0.8285188 -1.5649083],3000,16384,0.508606672286987,0.606434274192668,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/one_vs_many_split,RBF,[-1.0221943  0.6703426 -1.4081528],3000,16384,0.505030632019043,0.649660246651412,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/seven_vs_many_split,RBF,[-0.8072863  0.3101372 -1.6178862],3000,8192,8.82671046257019,0.655782950962297,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/seven_vs_many_split,RBF,[-0.7621557  0.3256637 -1.6383222],3000,8192,8.65702033042908,0.667087660248011,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/seven_vs_many_split,RBF,[-0.7621557  0.3867992 -1.6876369],3000,8192,8.74694609642029,0.682847725400184,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/seven_vs_many_split,RBF,[-0.8072863  0.3101372 -1.6178862],3000,16384,16.9765729904175,0.688739401553129,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/seven_vs_many_split,RBF,[-0.7621557  0.3256637 -1.6383222],3000,16384,16.6584651470184,0.674320446250205,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/seven_vs_many_split,RBF,[-0.7621557  0.3867992 -1.6876369],3000,16384,16.8229050636292,0.690057404966411,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/two_vs_many_split,RBF,[-0.852417   0.537397  -1.7008662],3000,8192,4.2383120059967,0.506170407316021,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/two_vs_many_split,RBF,[-0.852417   0.537397  -1.6799683],3000,8192,4.2461097240448,0.529863123725926,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/two_vs_many_split,RBF,[-0.852417   0.49664   -1.6528456],3000,8192,4.23166275024414,0.524825257535744,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/two_vs_many_split,RBF,[-0.852417   0.537397  -1.7008662],3000,16384,7.97107696533203,0.539873378524335,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/two_vs_many_split,RBF,[-0.852417   0.537397  -1.6799683],3000,16384,8.09281277656555,0.528951922628157,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/two_vs_many_split,RBF,[-0.852417   0.49664   -1.6528456],3000,16384,8.09223818778992,0.540948801512079,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/conv_features/standard,RBF,[-0.7729011  1.4053097 -4.501004 ],3000,8192,20.7726073265076,0.669192661415903,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/conv_features/standard,RBF,[-0.7729011  1.4412147 -4.501004 ],3000,8192,12.5317614078522,0.669439218297386,bayes
