Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,optimizer,random_seed
aav_eval/conv_features/two_vs_many_split,RBF,-0.7729011_0.2897586_-4.9038751,3000,100.86809372901917,21155.712,bayes,125
aav_eval/onehot_conv/two_vs_many_split,Conv1d,-0.7277703999999999_-1.6094379_-0.39247439999999995,3000,96.17977476119995,21142.878,bayes,123
aav_eval/onehot_conv/two_vs_many_split,Conv1d,-0.7277703999999999_-1.6094379_-0.3672003,3000,84.60394477844238,20988.104,bayes,124
aav_eval/onehot_conv/two_vs_many_split,Conv1d,-0.7277703999999999_-1.6094379_-0.3672003,3000,84.42063617706299,21066.745,bayes,125
aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.38539160000000006,3000,172.23428320884705,21059.865,bayes,123
aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.41575070000000003,3000,96.85167503356934,21050.192,bayes,124
aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.3745209,3000,95.91731667518616,21049.053,bayes,125
aav_eval/onehot/two_vs_many_split,RBF,-0.852417_0.5373969999999999_-1.7008661999999999,3000,82.0927402973175,18528.909,bayes,123
aav_eval/onehot/two_vs_many_split,RBF,-0.852417_0.49663999999999997_-1.6528456,3000,82.86255955696106,18619.011,bayes,124
aav_eval/onehot/two_vs_many_split,RBF,-0.852417_0.5373969999999999_-1.6799683,3000,82.59648704528809,18541.123,bayes,125
aav_eval/conv_features/one_vs_many_split,RBF,-0.9426783000000001_0.23347509999999996_-4.2728696,3000,50.66360545158386,1009.783,bayes,123
aav_eval/conv_features/one_vs_many_split,RBF,-0.9426783000000001_0.04212019999999998_-4.0474915,3000,50.91805911064148,1016.997,bayes,124
aav_eval/conv_features/one_vs_many_split,RBF,-0.8975476999999998_0.21309650000000002_-4.2828838,3000,51.361382246017456,1013.609,bayes,125
aav_eval/onehot_conv/one_vs_many_split,Conv1d,-0.8072863_-0.7893578_-0.8495968,3000,90.39202499389648,879.577,bayes,123
aav_eval/onehot_conv/one_vs_many_split,Conv1d,-0.7729011_-0.6412537_-0.9537028999999999,3000,96.38404059410095,878.701,bayes,124
aav_eval/onehot_conv/one_vs_many_split,Conv1d,-0.7729011_-0.8013749_-0.8910864,3000,50.210232734680176,889.613,bayes,125
aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,-0.8072863_-0.8486924_-0.8321154,3000,61.603755235672,883.849,bayes,123
aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,-0.6826396999999998_-0.2993732999999999_-1.1122106999999999,3000,65.0590968132019,893.384,bayes,124
aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,-0.7621557_-0.8209027_-0.8656593,3000,53.94078731536865,886.495,bayes,125
aav_eval/onehot/one_vs_many_split,RBF,-1.0221943_0.9051809_-1.6515515999999997,3000,43.76070427894592,927.331,bayes,123
aav_eval/onehot/one_vs_many_split,RBF,-1.0221943_0.6703426000000001_-1.4081527999999999,3000,44.161656618118286,934.545,bayes,124
aav_eval/onehot/one_vs_many_split,RBF,-1.0221943_0.8285188_-1.5649083,3000,44.02596426010132,927.982,bayes,125
fluorescence_eval/onehot/standard,RBF,-0.8072863_1.5586338999999998_-2.1246963,3000,97.05495643615723,19076.138,bayes,123
fluorescence_eval/onehot/standard,RBF,-0.8072863_1.5993909_-2.1504584,3000,86.05813980102539,19121.409,bayes,124
fluorescence_eval/onehot/standard,RBF,-0.8072863_1.5790123999999999_-2.118953,3000,86.16532778739929,19149.136,bayes,125
fluorescence_eval/conv_features/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,3000,103.25768256187439,20257.911,bayes,123
fluorescence_eval/conv_features/standard,RBF,-0.7729011_1.3109955_-4.4155039,3000,94.33188843727112,20460.19,bayes,124
fluorescence_eval/conv_features/standard,RBF,-0.7729011_1.4053097_-4.501004,3000,94.13546013832092,20128.896,bayes,125
fluorescence_eval/onehot_conv/standard,Conv1d,-0.8072863_-1.340787_-0.24795210000000006,3000,187.33488702774048,18241.132,bayes,123
