Random_seed,Iteration,Mean_fitness,Max_fitness
123,0,0.28483458186394467,0.9181903148544224
123,1,0.3876817255693726,1.0
123,2,0.37698938068656934,1.0
123,3,0.432296089591578,1.0
123,4,0.4170471759463769,1.0
124,0,0.30047579740294533,0.9181903148544224
124,1,0.4950084209697536,1.0
124,2,0.42696129981845177,1.0
124,3,0.3872727027129954,1.0
124,4,0.4170880771009449,1.0
125,0,0.3470029634675997,0.6535915259845823
125,1,0.43493189456306736,0.8624627606746367
125,2,0.3939759789627206,0.8624627606746367
125,3,0.3882786093961698,0.8624627606746367
125,4,0.3984878453424834,1.0
126,0,0.29320577999803976,0.7907195088918194
126,1,0.35547254119036303,1.0
126,2,0.3185566626357697,1.0
126,3,0.40181893761716125,1.0
126,4,0.4601076492967379,1.0
127,0,0.2684790948533798,0.7907195088918194
127,1,0.2914495621722816,1.0
127,2,0.3594750094501675,1.0
127,3,0.31665743860787526,1.0
127,4,0.36729876469231476,1.0
128,0,0.24048407873790104,0.9181903148544224
128,1,0.3275151671402558,1.0
128,2,0.3645822524428155,1.0
128,3,0.45414323003649343,1.0
128,4,0.4025536651250437,1.0
129,0,0.21544196326598997,0.578300339549711
129,1,0.3052552013958618,0.5867706908642742
129,2,0.4016639961967489,0.8345908537149408
129,3,0.36350800735697825,1.0
129,4,0.3273343229884243,1.0
130,0,0.2810895615757036,0.6723293505072117
130,1,0.4109653110406775,0.8624627606746367
130,2,0.41125386202512093,0.8624627606746367
130,3,0.42084652478697304,0.9181903148544224
130,4,0.28493801670310065,1.0
131,0,0.31181134107338776,0.6002257260666973
131,1,0.4509549994714342,0.8624627606746367
131,2,0.372326420105266,0.8624627606746367
131,3,0.37186873528180114,0.8624627606746367
131,4,0.381518212270968,1.0
132,0,0.34211091741075156,0.8345908537149408
132,1,0.4826962949278659,0.8622110018596997
132,2,0.41236537891925035,0.8624627606746367
132,3,0.4283237183015169,1.0
132,4,0.3826865682136164,1.0
133,0,0.2076767978858544,1.0
133,1,0.3627404778569409,1.0
133,2,0.32325295016231653,1.0
133,3,0.45568647271444673,1.0
133,4,0.4864756157020537,1.0
134,0,0.2250136557407908,0.6152423688384313
134,1,0.3442618151043351,0.6587599673571513
134,2,0.26768167355191963,0.6587599673571513
134,3,0.24993722110356006,0.6587599673571513
134,4,0.20278465466077322,0.6587599673571513
135,0,0.21417500013497767,0.7967770755207655
135,1,0.35203556730381913,1.0
135,2,0.38772789362693666,1.0
135,3,0.42673514242669924,1.0
135,4,0.38244055169538166,1.0
136,0,0.1273336564301896,0.8345908537149408
136,1,0.2492020301682284,0.8345908537149408
136,2,0.3939893372300955,0.8622110018596997
136,3,0.39655651336972325,1.0
136,4,0.42572601142794086,1.0
137,0,0.0038064617999763795,0.232087388281964
137,1,0.17391244028364686,0.6723293505072117
137,2,0.4289061758397937,0.8624627606746367
137,3,0.38675289527458173,0.8624627606746367
137,4,0.2777241441835561,0.8624627606746367
138,0,0.1576906607246752,0.5094339622640648
138,1,0.22490863536533356,0.7418458719995165
138,2,0.3894853238532794,0.8345908537149408
138,3,0.41132379357848564,1.0
138,4,0.33802999897230973,1.0
139,0,0.19403236445560676,0.6054323836436155
139,1,0.39415485325965244,0.7849778591756721
139,2,0.4083883409278346,0.8345908537149408
139,3,0.3211200138134391,0.8345908537149408
139,4,0.3753865776757159,0.8345908537149408
140,0,0.18267621147006854,0.6011670881153632
140,1,0.3876264739978403,0.6383703659720357
140,2,0.3778763833782908,0.7849778591756721
140,3,0.3952700044520901,0.8345908537149408
