Algorithm,Dataset,Kernel_Type,Hyperparams,Num_Fitting_RFFs,Fitting_Time,Niter,achieved_ratio,max_rank,method
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,21.438348531723022,355,1375.4282820709634,256,gauss
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,13.637545824050903,189,404.5012139499177,512,gauss
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,13.341220378875732,90,94.09953113451442,1024,gauss
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,52.84682846069336,1001,0,0,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,19.601997137069702,354,1342.9005617724183,256,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,11.541015863418579,188,403.2739517107404,512,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,8.332777500152588,91,91.91612924038063,1024,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,16.10729146003723,267,2896.1682098213937,256,srht_2
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,11.07818055152893,139,815.3119594544798,512,srht_2
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,10.846309423446655,63,172.09726412720096,1024,srht_2
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,32768,104.44589328765869,1001,0,0,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,32768,38.01672911643982,348,1270.6709784758748,256,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,32768,22.18578815460205,184,374.76133499879296,512,srht
CG,kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,32768,15.253003120422363,87,88.6497156215954,1024,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,28.999371767044067,25,1.7389806683548659,256,gauss
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,38.71666193008423,18,1.0320206883923013,512,gauss
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,64.91013479232788,14,0.6201231696383992,1024,gauss
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,75.31989312171936,133,0,0,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,23.175472736358643,24,1.750172051668182,256,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,25.783491134643555,17,1.0287321418301776,512,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,37.832205295562744,14,0.6247888438873263,1024,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,32.96979212760925,17,5.303608479907855,256,srht_2
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,50.31602168083191,13,2.7321296586083985,512,srht_2
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,87.6830461025238,10,1.3093052242155083,1024,srht_2
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,32768,153.003741979599,138,0,0,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,32768,45.769477128982544,24,1.5636065130220096,256,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,32768,50.906009912490845,17,0.8418459048788128,512,srht
CG,song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,32768,74.1749484539032,14,0.4762863819035932,1024,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,4.853847980499268,41,7.149445277412557,256,gauss
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,5.923778295516968,27,3.163687624059501,512,gauss
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,10.386025667190552,17,1.364214431116103,1024,gauss
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,10.53410267829895,148,0,0,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,3.98927903175354,42,6.839477919810245,256,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,3.7321269512176514,27,3.1822485466676422,512,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,5.101911544799805,17,1.3772929477676115,1024,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,4.537753105163574,32,17.01337883650285,256,srht_2
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,5.649528741836548,20,6.505685780939078,512,srht_2
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,9.297420978546143,12,2.5127253691936087,1024,srht_2
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,32768,21.08672523498535,150,0,0,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,32768,7.682602882385254,41,6.85822901921294,256,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,32768,7.158376216888428,27,2.99955910981601,512,srht
CG,uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,32768,9.262372732162476,17,1.2958915982108412,1024,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,30.339127779006958,80,34.27100567028489,256,gauss
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,21.611560106277466,50,8.822485410982429,512,gauss
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,17.041828870773315,24,1.5885768631131953,1024,gauss
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,72.68720626831055,206,0,0,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,29.522684574127197,80,34.97778001097536,256,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,19.662395477294922,50,8.962371260350302,512,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,12.767770528793335,25,1.5986153010233366,1024,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,25.28180742263794,65,85.9120785538526,256,srht_2
