Dataset,Kernel_Type,Hyperparams,Num_Fitting_RFFs,Method,P_ratio,max_rank,Losses
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,CG,NA,no_preconditioner,1.0_0.6448739032605949_0.5224909506953438_0.5085683813445737_0.2947829324717866_0.2868094659218926_0.3113715766185808_0.1810291204105387_0.17312349660171522_0.16012630163205924_0.15443993593479619_0.14281047500780705_0.1146815257244519_0.10529798386419915_0.1062736645512987_0.09889754319783953_0.0784277197776297_0.08813693729065758_0.07155500921999633_0.06383930735637727_0.05920415615793494_0.06553075424577491_0.0942626464926432_0.04825153632269243_0.04098000678494819_0.04127519739611718_0.03765600051444167_0.03301180037766083_0.039869563225031386_0.048176602481136456_0.0303690267003674_0.05088375962057282_0.028186042178556844_0.025220901957535288_0.02454803489403548_0.019584280228021857_0.017776004363467064_0.043263336192196925_0.018587031144336026_0.017774201171788927_0.025402422193016888_0.014592896547021776_0.015876035701422132_0.0177176701444855_0.011221706529406655_0.010166775835302178_0.009524412072761536_0.008987017578360332_0.007252734425356061_0.009960786690658356_0.009861013971235929_0.01126375682565017_0.006607222433691163_0.016301114510330814_0.008485906131598638_0.007923259803657535_0.010127485050140564_0.004730087389775678_0.006676905439211804_0.0045803698863276935_0.004436403402699113_0.005668868673209249_0.003339988260975273_0.0030952585070421605_0.002833172805404752_0.002633965841487503_0.002557513187316896_0.003763933972971788_0.004253812752095745_0.0030571444432296543_0.0025060462450458365_0.0017409109706352812_0.0020001369624810224_0.0021705667786655076_0.0026099778692276715_0.0015872009132931668_0.0018566341076281382_0.0014798872210500477_0.0023108630149220395_0.0010183022123748644_0.000921378539723838_0.0013112115268023308_0.0008061168987012807_0.0007783784332654054_0.0020463679450953014_0.0006566450686595154_0.0005541599823082898_0.0010380537248766062_0.0005105865127612292_0.0005955806674383772_0.00048181892731259316_0.00042850842623249095_0.0006083259834284179_0.000725576856108074_0.00044448516989765616_0.0003994041199523811_0.0003150070851323233_0.0004798298218167426_0.0005075441611399593_0.000293973841468687
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,SVRG,NA,no_preconditioner,0.5469286912992705_0.41256770588722946_0.36293945532099936_0.37171944972041704_0.2676362371490042_0.24596569856938116_0.23288521764391482_0.22175613998216745_0.21189233116963618_0.20307857118522019_0.19516113890181402_0.18801339200006525_0.18152935066179357_0.1756200119467726_0.17021044097873403_0.16523738304575764_0.16064729321667898_0.15639470814889583_0.15244090006166616_0.1487527637559886_0.1453018961659728_0.1420638348876201_0.1390174278777615_0.13614431129704066_0.13342847646031306_0.13085591018459_0.1284142955925758_0.12609276272600145_0.12388168022195081_0.12177248087142686_0.11975751516769677_0.11782992800959027_0.11598355459182516_0.11421283222418073_0.11251272540199546_0.11087866192533431_0.1093064782525186_0.10779237259138705_0.10633286449166479_0.104924759914791_0.10356512093217901_0.10225123934622894_0.10098061364624615_0.09975092880842275_0.09856003852903017_0.09740594954604646_0.09628680775912844_0.09520088590318607_0.094146572568501_0.09312236239171288_0.09212684726819145_0.0911587084582253_0.09021670947783669_0.08929968968048048_0.08840655844890596_0.08753628992746379_0.08668791823446052_0.08586053310208154_0.08505327589814805_0.0842653359897335_0.08349594741359864_0.08274438582264158_0.08200996568120839_0.08129203768526096_0.0805899863861292_0.07990322799894413_0.07923120837891338_0.07857340115040314_0.0779293059753687_0.07729844694906213_0.07668037111216432_0.07607464706956624_0.0754808637069753_0.07489862899736821_0.07432756889006163_0.07376732627584127_0.07321756002218699_0.07267794407316638_0.0721481666090478_0.07162792926111548_0.07111694637755606_0.0706149443366361_0.07012166090370593_0.06963684462885082_0.06916025428226978_0.06869165832469766_0.06823083441039976_0.06777756892046313_0.06733165652428602_0.0668928997673293_0.06646110868334135_0.06603610042940339_0.06561769894226688_0.06520573461456725_0.06480004398960378_0.06440046947347061_0.06400685906341202_0.06361906609135673_0.06323694898166016_0.06286037102215267
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,AMSGrad,NA,no_preconditioner,0.6433358152802124_0.1128416707228419_0.05491823111724747_0.03468076838996495_0.02636276661693613_0.021357337042620234_0.018242202443205555_0.01609225011973127_0.014536377090083813_0.013365027655925383_0.01245540444471816_0.011729839288796102_0.011139985147469642_0.010651693869894802_0.010241742930770743_0.009893279386782052_0.009593907345039569_0.009334311508283524_0.009107358752516816_0.008907496602511701_0.008730343743060646_0.00857239924688746_0.00843083354296591_0.008303336340138433_0.00818800394711473_0.008083254584696263_0.007987763861485557_0.007900414621935964_0.007820258762753936_0.00774648654269091_0.0076784025891880655_0.007615406715752526_0.0075569783040491285_0.007502663878681968_0.007452066554027589_0.007404837721101759_0.0073606699793560965_0.007319291286505931_0.00728046013409221_0.007243961423084179_0.00720960297305805_0.007177212634065363_0.0071466357619964_0.007117733078266931_0.007090378843062958_0.007064459266695489_0.0070398711489703765_0.0070165206933138335_0.006994322484416383_0.006973198566786342_0.006953077675357623_0.006933894536448844_0.0069155892706464295_0.006898106844346843_0.00688139662327138_0.006865411903880819_0.006850109593526671_0.006835449848536877_0.006821395772328594_0.006807913154467689_0.006794970241838492_0.0067825375248935045_0.006770587551966948_0.0067590947399756175_0.006748035231580574_0.006737386752202338_0.006727128483145736_0.006717240946059303_0.006707705902311128_0.0066985062500418795_0.006689625943587959_0.0066810499129308165_0.006672763992481772_0.006664754858578783_0.006657009957789727_0.006649517465427291_0.006642266226413561_0.006635245717430387_0.006628445998391486_0.006621857671298635_0.006615471845757698_0.006609280104758362_0.006603274477541833_0.006597447405825711_0.006591791725334116_0.006586300633241797_0.006580967674263867_0.006575786711199735_0.006570751905348997_0.006565857708072026_0.00656109883663656_0.006556470261961115_0.0065519671936403396_0.006547585063390508_0.006543319514366471_0.006539166390572295_0.006535121721726246_0.006531181715541923_0.006527342745458329_0.006523601346945943
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,CG,1.3757872251416243,1024,1.0_0.39644195530017123_0.08596268379068539_0.014742735172957228_0.008959574536954529_0.009290107719000875_0.005030543354503339_0.0015591186794718598_0.000719250542666862_0.000632897786219228_0.0003750928709471213_0.00015811267651509565_6.331311605559639e-05_4.805504546711684e-05_3.3124994287962385e-05_1.5642437342483677e-05_6.320114903908419e-06_3.6871997027866886e-06_2.782498024593438e-06_1.5388077580238054e-06_6.696345568733155e-07
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.41483738691418204_-0.19847253218546643_0.45796802733361996,16384,SVRG,1.3757872251416243,1024,0.26398653937400474_0.15993371678278906_0.2310190573253363_0.11964025480491665_0.06847811049279533_0.04125025152975674_0.025536214149115166_0.0163809756769812_0.010543848888700224_0.006999318749036714_0.004607025330750537_0.0031216975147453467_0.0020865240463690616_0.0014362040141097634_0.0009743236272890933_0.0006824674268121113_0.00047246993454291364_0.00033922984874548_0.00024219640606314217_0.00018002555676496543_0.00013397550282880617_0.0001036538325303241_8.056848247475236e-05_6.456882097767615e-05_5.195329063371307e-05_4.2646723537489265e-05_3.50799122647376e-05_2.9193763783596258e-05_2.4314097837797323e-05_2.0381823755987217e-05_1.708946699233059e-05_1.4381006604152709e-05_1.2102941308501201e-05_1.0207199015016885e-05_8.609312545774285e-06_7.270972298480635e-06_6.141612130336908e-06_5.192103189157317e-06_4.39022334593341e-06_3.7144417715840144e-06_3.1433487982303974e-06_2.661289194461032e-06_2.2536552496795846e-06_1.9091679732587864e-06_1.6176944531253385e-06_1.3711476828451437e-06_1.162425129757417e-06_9.857414150768468e-07
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,-0.6440528332353815_0.09055420482101785_-1.6778624979265484,16384,CG,NA,no_preconditioner,1.0_1.4010376234138024_0.22109035628423535_0.17142364719483377_0.08136016847000675_0.08595699706891141_0.08053802651946697_0.05467033695864267_0.04832078475616251_0.1575104923860448_0.03966075906259794_0.032583792246546985_0.034853993169899594_0.03009250047738429_0.023191742185882807_0.04018896280444178_0.027530742767403252_0.21554806114182148_0.01758835120085679_0.018748352813453748_0.016343069020432584_0.012825263971682325_0.012473759544379237_0.01952582420346269_0.022636706773007803_0.018171400785763257_0.009643669046461387_0.009626436420177058_0.012954829605044226_0.0152404380614069_0.013273476408695774_0.017537025589338923_0.00971561460118207_0.007301804950204605_0.008080595753939972_0.006939125927803946_0.006673724362204964_0.006217499916774897_0.05801435426632707_0.008507221959003301_0.006887588871430766_0.005805466635152111_0.017895835258261432_0.004618102131621075_0.005253684426321119_0.013531415886399313_0.012977577014196625_0.006856491923353343_0.004929500031482174_0.0038387632611942063_0.0038530885955584903_0.005086758606884433_0.005653469170093763_0.02525015756037087_0.004188360073303982_0.003200367611036071_0.011486466132976316_0.0030154921735503666_0.002768679361509023_0.002599405426266491_0.03161605439261092_0.002601933748428865_0.0023168968650483903_0.0029777021560989407_0.002053095405472828_0.005819945733700878_0.001713581414312514_0.023111971223281028_0.00714693937075438_0.0018494710371287273_0.0016142263372030468_0.0029138642925695814_0.0020242503394989125_0.0017274191914323062_0.004305348666059521_0.004773930991718427_0.0012975426854464087_0.0012442085057420263_0.0010681093259877349_0.0012685373702147151_0.002659392386664746_0.0015852233456761084_0.004095387045213322_0.0011930061962612017_0.0011139205902686911_0.0010255653829801422_0.002363864527140412_0.0007208577804101379_0.0009539172056921025_0.001070987741684547_0.0013515834250746712_0.0006246553829883804_0.0006753878353432951_0.0010723945972843773_0.0007728038851510292_0.0006819516986741571_0.005185253507151887_0.0005371952004323879_0.0006625685773745909_0.0004182471845342854
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,-0.6440528332353815_0.09055420482101785_-1.6778624979265484,16384,SVRG,NA,no_preconditioner,0.8199988744066309_0.7443733508369339_0.6776287867268169_0.6179836335440086_0.56473313443401_0.517249733745679_0.47496562253749797_0.43736603130739704_0.40398331770803286_0.3743917382835606_0.34820289111520425_0.32506181596932626_0.30464372807310325_0.2866513435148429_0.27081273143791046_0.2568796054574034_0.24462594955128208_0.23384686666058518_0.2243575436498457_0.21599224336538342_0.20860325981472186_0.20205980099126988_0.19624679060833752_0.1910636012638851_0.18642274547239102_0.1822485575120845_0.1784758993710815_0.17504892008889072_0.17191989139149874_0.16904813530996382_0.16639905258875068_0.16394325479864286_0.16165579845719516_0.15951551614932022_0.15750443749652016_0.15560729163707282_0.15381108242636068_0.15210472763848337_0.15047875387194434_0.14892503949530206_0.14743659871015924_0.14600740058580247_0.1446322176834157_0.14330649960765962_0.14202626748249908_0.14078802593877573_0.13958868972170912_0.1384255224797434_0.1372960856867277_0.13619819598326904_0.13512988950659838_0.13408939201773137_0.13307509383603908_0.1320855287599978_0.13111935629373386_0.130175346616286_0.12925236782799981_0.1283493750893341_0.12746540133432857_0.12659954929636721_0.12575098462962417_0.12491892994733296_0.12410265962915494_0.12330149527557498_0.12251480170838093_0.12174198343367648_0.12098248149819102_0.12023577068143035_0.11950135697590401_0.11877877531564279_0.11806758751978592_0.11736738042342602_0.11667776417235708_0.11599837066204516_0.1153288521041781_0.11466887970665768_0.11401814245497584_0.11337634598463912_0.11274321153573755_0.11211847498194755_0.11150188592725616_0.11089320686452907_0.11029221239074909_0.10969868847434515_0.10911243177053634_0.10853324898104462_0.10796095625489802_0.10739537862736288_0.10683634949431785_0.10628371011962129_0.10573730917323325_0.10519700229803697_0.10466265170346839_0.10413412578420796_0.10361129876231857_0.103094050351332_0.10258226544089102_0.10207583380065217_0.10157464980224147_0.10107861215813639
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,-0.6440528332353815_0.09055420482101785_-1.6778624979265484,16384,AMSGrad,NA,no_preconditioner,0.2903776282806584_0.07704982650712816_0.07576937165998522_0.13131543918949354_0.194735085997506_0.27749494972645894_0.37620193216624354_0.48436208024232896_0.5886581663584896_0.6823127437482203_0.7657351109095483_0.8371469632172845_0.8922762134808222_0.9336822572129562_0.9645962093433094_0.986191456629258_1.0005352463535677_1.009258226908788_1.0139306596409936_1.0150812434781677_1.0134703152440863_1.0093748376058453_1.0034191493016622_0.9954588252461994_0.9857150268197304_0.9744440643190444_0.9618636773185458_0.9481943126687175_0.9336673131402724_0.9185210055470059_0.9030054710176422_0.8872506793710416_0.8713524890689919_0.855527725189164_0.8398816976137365_0.824523861696025_0.8095541939577735_0.7950433500128572_0.7810416439439181_0.7675834367460876_0.7546911079275698_0.7423735992032239_0.7306148758867059_0.7194230370595647_0.7087808000128801_0.698666683838645_0.6890553416477219_0.6799191897920958_0.6712293886897461_0.6629567193002186_0.6550722317786084_0.6475477760758123_0.6403563843504754_0.6334725289203884_0.6268722872935022_0.6205334461072168_0.6144355279089142_0.6085597748288369_0.6028891001209685_0.5974080066160931_0.5921024920219018_0.5869599450965152_0.5819690348892929_0.5771196052133492_0.5724025644178907_0.5678097845293091_0.5633339976688692_0.5589687064381895_0.5547080939283118_0.5505472282125771_0.5464810698419519_0.5425053349046283_0.5386162156686043_0.5348102785838653_0.5310844013416625_0.5274357323324358_0.523861654395863_0.5203597539294197_0.5169277930214221_0.5135636851996932_0.510265476561375_0.5070313301216565_0.5038595094408552_0.5007483670886981_0.49769633458051377_0.49470191212726944_0.4917636608734658_0.488880198520612_0.4860501931665935_0.48327235715523437_0.48054544570293695_0.4778682534238915_0.4752396105151951_0.47265838114582986_0.47012346095962426_0.46763377646519233_0.46518828312088895_0.4627859627090728_0.4604258224068327_0.4581068956692492
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,-0.6440528332353815_0.09055420482101785_-1.6778624979265484,16384,CG,2.048005186996344,1024,1.0_0.5359289758408831_0.12708747435523352_0.026821406720833288_0.002682570209088539_0.005791849284393382_0.006356016036469919_0.004023954450095462_0.0015278107694302637_0.000225180219939306_0.0005509678707139463_0.000554067217040257_0.0003349128560267689_0.00011406941508414056_2.6639005340558847e-05_5.573117932720122e-05_4.970484052820057e-05_2.7934136560491577e-05_8.451687434184456e-06_3.6439768390886464e-06_5.8718731890107765e-06_4.712911659814655e-06_2.3501819859050786e-06_6.607012549506623e-07
benchmarking_xGPR/benchmark_evals/aav_eval/onehot/mut_des_split,RBF,-0.6440528332353815_0.09055420482101785_-1.6778624979265484,16384,SVRG,2.048005186996344,1024,0.21542096200531963_0.29139089597208057_1.3150661891277073_2.8717086174239266_2.1163560150081584_1.6869414472601518_1.3817148430710489_1.1604739274360076_0.9838899450676287_0.8444971582563825_0.7285913220286154_0.633699547712031_0.5535292160512497_0.48669117876316687_0.4297886597363356_0.38182192092017536_0.3407697020747847_0.30586761376899607_0.27583786975248226_0.25009597234234676_0.22780327017463292_0.20851975557886912_0.19168301595193954_0.1769682060592731_0.16399423436151703_0.1525258457710621_0.14230386288479227_0.13316067849918212_0.12491982653365176_0.11746325948426496_0.11067059270603267_0.10445912588696672_0.09874632407240085_0.09347417115415403_0.08858556075226456_0.08403946804543157_0.0797958342880634_0.07582524094042187_0.07209907481671671_0.06859583416806636_0.06529463170339662_0.062179389177119564_0.059234483234449846_0.05644758650459284_0.05380670946571711_0.051302155767652874_0.048924486448852805_0.046665884547326404_0.044518736952935865_0.04247659836584614_0.04053319206413497_0.038683098012994445_0.03692104123907776_0.03524238748726152_0.03364263133407525_0.03211775600231995_0.030663861700046365_0.02927742856414314_0.02795504444862754_0.026693598163575468_0.02549007846732981_0.024341716750730255_0.02324583746461836_0.02219996388330135_0.021201705996232365_0.02024883914380149_0.019339219408750826_0.018470842214263195_0.01764177804726872_0.016850216188004197_0.016094415567712777_0.01537273742208541_0.014683607486369543_0.014025540370560627_0.013397110298707972_0.012796969280218696_0.012223824325182707_0.01167645095647708_0.01115367536045153_0.010654384394529353_0.010177511519024454_0.009722044166308104_0.009287012584401923_0.008871495219185099_0.008474609811656916_0.008095517284441675_0.007733414592138489_0.007387537483311444_0.007057154721413332_0.006741570003172001_0.006440117256495656_0.006152161928086762_0.005877097132016692_0.005614344467922388_0.005363350845058141_0.0051235889534266355_0.004894554627114857_0.004675767061097003_0.0044667666075339_0.004267114808462821
