Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,random_seed
aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.4091651,3000,177.11621141433716,21042.345,123
aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.41575070000000003,3000,102.38147902488708,21013.267,124
aav_eval/onehot_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.38539160000000006,3000,101.56175422668457,21006.707,125
aav_eval/esm_reps/conv_two_vs_many_split,RBF,-0.852417_0.11605590000000013_-6.8295916,3000,112.35023427009583,18937.364,123
aav_eval/esm_reps/conv_two_vs_many_split,RBF,-0.852417_0.07529889999999988_-6.8031375,3000,110.6776762008667,18851.874,124
aav_eval/esm_reps/conv_two_vs_many_split,RBF,-0.852417_0.07529889999999988_-6.7920844,3000,109.02981281280518,18805.581,125
aav_eval/esm_reps/two_vs_many_split,RBF,-0.8072863_1.2702384_-0.9537028999999999,3000,90.09647250175476,19428.528,123
aav_eval/esm_reps/two_vs_many_split,RBF,-0.8072863_1.1169143_-0.8413665000000001,3000,88.55899906158447,19323.31,124
aav_eval/esm_reps/two_vs_many_split,RBF,-0.8072863_1.1528193_-0.8641701,3000,88.52150821685791,19533.201,125
aav_eval/conv_features/onehot_conv/one_vs_many_split,RBF,-0.9426783000000001_0.23347509999999996_-4.2728696,3000,51.527652740478516,1009.783,123
aav_eval/conv_features/onehot_conv/one_vs_many_split,RBF,-0.9426783000000001_0.04212019999999998_-4.0474915,3000,52.36298489570618,1016.997,124
aav_eval/conv_features/onehot_conv/one_vs_many_split,RBF,-0.8975476999999998_0.21309650000000002_-4.2828838,3000,51.69079375267029,1013.608,125
aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,-0.7729011_-0.5819191_-0.9789318,3000,111.71095514297485,876.081,123
aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,-0.6826396999999998_-0.41593240000000004_-1.0671008,3000,86.6646876335144,893.317,124
aav_eval/onehot_conv/one_vs_many_split,FHTConv1d,-0.7621557_-0.8209027_-0.8656593,3000,73.77376890182495,885.67,125
aav_eval/esm_reps/conv_one_vs_many_split,RBF,-1.276195_0.26665369999999994_-6.3303367,3000,52.38701844215393,802.795,123
aav_eval/esm_reps/conv_one_vs_many_split,RBF,-1.2310643_0.1723394999999999_-6.2584496,3000,52.26030516624451,803.778,124
aav_eval/esm_reps/conv_one_vs_many_split,RBF,-1.2310643_0.5170185000000002_-6.5992323,3000,52.98677110671997,799.991,125
aav_eval/esm_reps/one_vs_many_split,RBF,-1.0221943_1.7886201_-1.0169141999999998,3000,56.341816425323486,852.881,123
aav_eval/esm_reps/one_vs_many_split,RBF,-0.987809_1.8905126999999997_-1.1217275,3000,51.64288544654846,859.849,124
aav_eval/esm_reps/one_vs_many_split,RBF,-1.0221943_1.8293770999999999_-1.0427055,3000,59.012155055999756,850.527,125
stability/conv_features/onehot_conv/standard,RBF,-0.17934579999999997_-0.2082445_-5.2395112,3000,148.5556890964508,71683.657,123
stability/conv_features/onehot_conv/standard,RBF,-0.17934579999999997_-0.11120389999999998_-5.3511621,3000,116.37478423118591,71479.075,124
stability/conv_features/onehot_conv/standard,RBF,-0.17934579999999997_-0.17233950000000003_-5.2711352,3000,117.58902931213379,71449.67,125
stability/onehot_conv/standard,FHTConv1d,-0.21373110000000003_-1.6094379_-1.1378655,3000,137.5973973274231,68629.773,123
stability/onehot_conv/standard,FHTConv1d,-0.21373110000000003_-1.6094379_-1.1344608,3000,137.0851480960846,68679.693,124
stability/onehot_conv/standard,FHTConv1d,-0.21373110000000003_-1.6094379_-1.1317675999999999,3000,137.79526495933533,68780.152,125
stability/esm_reps/conv,RBF,-0.25886170000000003_-0.05492040000000003_-7.6379052,3000,132.9210135936737,66459.847,123
stability/esm_reps/conv,RBF,-0.25886170000000003_-0.05492040000000003_-7.6379052,3000,126.87105441093445,66432.72,124
stability/esm_reps/conv,RBF,-0.25886170000000003_-0.09567739999999995_-7.608647,3000,130.82917618751526,66416.054,125
stability/esm_reps/standard,RBF,-0.30399239999999994_0.46346129999999996_-1.8111963,3000,117.63341236114502,65316.839,123
stability/esm_reps/standard,RBF,-0.30399239999999994_0.5245968999999999_-1.8605029,3000,110.60897731781006,65218.485,124
stability/esm_reps/standard,RBF,-0.30399239999999994_0.5605019_-1.8982429,3000,117.93199896812439,65225.385,125
thermostability/conv_features/onehot_conv/human,RBF,-0.21373110000000003_-0.4044514_-4.8077691,3000,114.7651059627533,10485.155,123
thermostability/conv_features/onehot_conv/human,RBF,-0.21373110000000003_-0.4248299000000001_-4.7746206,3000,88.50326704978943,10455.473,124
thermostability/conv_features/onehot_conv/human,RBF,-0.21373110000000003_-0.3840729_-4.8604793,3000,97.57466506958008,10454.941,125
thermostability/esm_reps/conv_human,RBF,-0.37747040000000004_0.2462751999999999_-8.2301261,3000,88.45846486091614,8098.213,123
thermostability/esm_reps/conv_human,RBF,-0.37747040000000004_0.1647610999999999_-8.1404922,3000,88.57685041427612,8114.742,124
thermostability/esm_reps/conv_human,RBF,-0.37747040000000004_0.3433157999999999_-8.3549554,3000,86.77271103858948,8107.934,125
thermostability/esm_reps/human,RBF,-0.4226011_0.28218020000000005_-2.1306382,3000,75.4357500076294,7789.583,123
thermostability/esm_reps/human,RBF,-0.4226011_0.07529889999999988_-1.9497096,3000,73.76237988471985,7760.449,124
thermostability/esm_reps/human,RBF,-0.4226011_0.1647610999999999_-2.022185,3000,73.76237225532532,7777.383,125
thermostability/conv_features/onehot_conv/mixed_split,RBF,-0.25886170000000003_-0.4403563999999999_-4.6849441,3000,120.8424756526947,30474.465,123
thermostability/conv_features/onehot_conv/mixed_split,RBF,-0.25886170000000003_-0.4199779000000001_-4.7177659,3000,111.82836842536926,30435.264,124
thermostability/conv_features/onehot_conv/mixed_split,RBF,-0.25886170000000003_-0.4403563999999999_-4.690997,3000,102.70600652694702,30363.4,125
thermostability/esm_reps/conv_mixed_split,RBF,-0.46773180000000003_-0.32566369999999983_-7.8661501,3000,104.02183699607849,22318.969,123
thermostability/esm_reps/conv_mixed_split,RBF,-0.46773180000000003_-0.34604219999999997_-7.82125,3000,106.24840188026428,22301.141,124
thermostability/esm_reps/conv_mixed_split,RBF,-0.46773180000000003_-0.3664207_-7.82125,3000,107.37633848190308,22337.673,125
thermostability/esm_reps/mixed_split,RBF,-0.5923783999999999_-0.2538536000000001_-1.8111963,3000,85.96921992301941,20199.387,123
thermostability/esm_reps/mixed_split,RBF,-0.5923783999999999_-0.21309649999999994_-1.8605029,3000,86.8092532157898,20273.442,124
thermostability/esm_reps/mixed_split,RBF,-0.5923783999999999_-0.21309649999999994_-1.848182,3000,88.52297830581665,20270.821,125
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,3000,116.42208528518677,20257.91,123
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.3109955_-4.4155039,3000,96.01739239692688,20460.192,124
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4053097_-4.501004,3000,95.8879005908966,20128.896,125
fluorescence_eval/onehot_conv/standard,FHTConv1d,-0.852417_-1.3881043999999998_-0.1347117,3000,115.22308278083801,18178.685,123
fluorescence_eval/onehot_conv/standard,FHTConv1d,-0.852417_-1.3723319_-0.19061679999999995,3000,122.41306233406067,18064.852,124
fluorescence_eval/onehot_conv/standard,FHTConv1d,-0.852417_-1.4001215999999999_-0.03837409999999991,3000,114.02297329902649,18512.731,125
fluorescence_eval/esm_reps/conv,RBF,-0.7277703999999999_1.0761572_-6.498963,3000,104.01426815986633,21174.445,123
fluorescence_eval/esm_reps/conv,RBF,-0.7729011_1.0606307_-6.5028852,3000,100.68139934539795,20737.415,124
fluorescence_eval/esm_reps/conv,RBF,-0.7277703999999999_1.0402522_-6.4871468,3000,100.77602577209473,20900.841,125
fluorescence_eval/esm_reps/standard,RBF,-0.6375091000000002_1.7119579999999999_0.09822130000000005,3000,84.33532238006592,23215.439,123
fluorescence_eval/esm_reps/standard,RBF,-0.6826396999999998_1.6352959_0.15918930000000003,3000,84.35431098937988,23250.054,124
fluorescence_eval/esm_reps/standard,RBF,-0.6375091000000002_1.7168099999999997_0.09822130000000005,3000,84.71552515029907,23234.745,125
gb1_eval/onehot/three_vs_rest,MiniARD,-0.7833220009776153_0.7101663490283563_-1.080173483790565_-1.4522290272586091_-0.41554267069759315_-0.4370539625387132,1024,13.584790706634521,2467.0805972865774,123
gb1_eval/onehot/three_vs_rest,MiniARD,-0.7537656102194126_0.5941599192524295_-1.0072697114820381_-1.4068900010869627_-0.15823332475696636_-0.6048278287751382,1024,11.503036260604858,2486.825002770038,124
gb1_eval/onehot/three_vs_rest,MiniARD,-0.7784635141223183_0.5481286013001367_-1.0245958428100679_-1.3015820656720958_-0.18976125979722214_-0.3609807990784879,1024,7.7242724895477295,2484.5414043684623,125
gb1_eval/onehot/two_vs_rest,MiniARD,-0.9233282337669212_0.8996138090242087_-1.406873560294556_-1.1850757066882986_-0.45145798292538275_-0.6364682587445638,1024,4.813155174255371,398.9632434205701,123
gb1_eval/onehot/two_vs_rest,MiniARD,-0.9900010410019382_0.6665149395499577_-1.2045835479120182_-0.8910702403900237_0.09027718461294343_-0.5869588652899312,1024,7.215701103210449,395.7729030030526,124
gb1_eval/onehot/two_vs_rest,MiniARD,-0.9152461579453989_0.7363507996419623_-1.147623917871187_-1.0473180612810742_-0.13519313178413397_-0.6621703904138553,1024,5.079666614532471,401.10729175296734,125
gb1_eval/esm_reps/three_vs_rest,RBF,-0.7729011_1.1013878_-2.5848793,1024,7.99733304977417,2745.736,123
gb1_eval/esm_reps/three_vs_rest,RBF,-0.8072863_1.0150215999999999_-2.5217679,1024,7.345438241958618,2676.676,124
gb1_eval/esm_reps/three_vs_rest,RBF,-0.8072863_0.8644237999999999_-2.4510743,1024,7.395057439804077,2674.941,125
gb1_eval/esm_reps/two_vs_rest,RBF,-1.0673249_0.6907212000000001_-2.2333561,1024,5.213896751403809,423.285,123
gb1_eval/esm_reps/two_vs_rest,RBF,-1.1124556_0.6548161000000001_-2.2413202,1024,5.149194717407227,405.218,124
gb1_eval/esm_reps/two_vs_rest,RBF,-1.0673249_0.5042184_-2.1589823,1024,5.066190719604492,407.064,125
