Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Fitting_Time,Spearmanr,random_seed
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,[-0.7729011 -1.6094379 -0.0684114],NA,8192,29.778380632400513,0.7201421341561692,124
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,[-0.7729011 -1.6094379 -0.0684114],NA,16384,60.17986822128296,0.7299989041716561,124
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.0691509],NA,8192,28.75399947166443,0.7150793318117362,125
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.0691509],NA,16384,60.17400002479553,0.7310319680384813,125
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,[-0.8072863  0.2130965 -4.3919682],NA,8192,19.06800866127014,0.6567044697359845,123
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,[-0.8072863  0.2130965 -4.3919682],NA,16384,12.204164505004883,0.698711042259416,123
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,[-0.8072863  0.151961  -4.3512135],NA,8192,9.184773921966553,0.67014708135184,124
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,[-0.8072863  0.151961  -4.3512135],NA,16384,12.181957244873047,0.6913117708156942,124
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,[-0.8072863  0.2490016 -4.4155039],NA,8192,9.55282998085022,0.6657547409633131,125
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,[-0.8072863  0.2490016 -4.4155039],NA,16384,12.199374914169312,0.680674102944862,125
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,[-0.7729011 -1.6094379 -0.0149633],NA,8192,10.761635065078735,0.5772702531272697,123
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,[-0.7729011 -1.6094379 -0.0149633],NA,16384,20.564478635787964,0.5774713152352109,123
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,[-0.7729011 -1.6094379 -0.002903 ],NA,8192,10.699828386306763,0.5537203019080285,124
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,[-0.7729011 -1.6094379 -0.002903 ],NA,16384,20.57114839553833,0.5708115436903671,124
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.0383741],NA,8192,10.71969199180603,0.5655394196708059,125
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,[-0.7277704 -1.6094379 -0.0383741],NA,16384,20.603501081466675,0.5709765941318711,125
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,[-1.1859337  0.151961  -3.6250111],NA,8192,1.2887623310089111,0.7833399334828294,123
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,[-1.1859337  0.151961  -3.6250111],NA,16384,1.3263506889343262,0.7992375414777403,123
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,[-1.3213257  0.0393939 -3.4598712],NA,8192,0.9671425819396973,0.7682912284133687,124
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,[-1.3213257  0.0393939 -3.4598712],NA,16384,1.3197319507598877,0.7906767896556625,124
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,[-1.2310643  0.0752989 -3.4911382],NA,8192,0.9597873687744141,0.7724756994628283,125
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,[-1.2310643  0.0752989 -3.4911382],NA,16384,1.3211522102355957,0.7983553936533083,125
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,[-0.852417  -0.6254812 -0.4991529],NA,8192,0.9500889778137207,0.5763627766928628,123
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,[-0.852417  -0.6254812 -0.4991529],NA,16384,1.374664068222046,0.575862185836703,123
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,[-0.987809  -0.9515891 -0.2354454],NA,8192,0.9491820335388184,0.6048196851000786,124
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,[-0.987809  -0.9515891 -0.2354454],NA,16384,1.3919882774353027,0.6251119026990852,124
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,[-0.852417  -0.5819191 -0.4991529],NA,8192,0.9267139434814453,0.5850265482149727,125
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,[-0.852417  -0.5819191 -0.4991529],NA,16384,1.3670172691345215,0.5820276005331693,125
stability/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.2137311 -0.1723395 -4.7399165],NA,8192,36.23636555671692,0.5803704738644455,123
stability/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.2137311 -0.1723395 -4.7399165],NA,16384,22.16918134689331,0.6174545750137984,123
stability/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.2137311 -0.1723395 -4.7399165],NA,8192,17.214757442474365,0.5979714314273646,124
stability/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.2137311 -0.1723395 -4.7399165],NA,16384,22.151118993759155,0.6123373248776556,124
stability/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.2137311 -0.1364345 -4.7399165],NA,8192,17.233933925628662,0.566834031369223,125
stability/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.2137311 -0.1364345 -4.7399165],NA,16384,22.171533346176147,0.6266160934145103,125
stability/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.2588617 -1.6094379 -0.6469751],NA,8192,21.314642190933228,0.6010774725006494,123
stability/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.2588617 -1.6094379 -0.6469751],NA,16384,41.54467463493347,0.6939304503671281,123
stability/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.2588617 -1.6094379 -0.6264556],NA,8192,21.38322639465332,0.5277769035119325,124
stability/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.2588617 -1.6094379 -0.6264556],NA,16384,41.62161064147949,0.6219479069361982,124
stability/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.2588617 -1.6094379 -0.6233361],NA,8192,21.405988216400146,0.5542254537793807,125
stability/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.2588617 -1.6094379 -0.6233361],NA,16384,43.19513154029846,0.5648170945443158,125
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,[-0.2137311 -0.3074108 -4.446552 ],NA,8192,4.690354108810425,0.5630663939681204,123
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,[-0.2137311 -0.3074108 -4.446552 ],NA,16384,3.334183931350708,0.5746924075909657,123
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,[-0.2137311 -0.2666537 -4.4947004],NA,8192,2.392836570739746,0.5638092681408446,124
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,[-0.2137311 -0.2666537 -4.4947004],NA,16384,3.3297038078308105,0.5735657856580474,124
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,[-0.2137311 -0.3481678 -4.4293677],NA,8192,2.321058511734009,0.5671037698696524,125
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,[-0.2137311 -0.3481678 -4.4293677],NA,16384,3.3373639583587646,0.5794325979252074,125
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,[-0.2137311 -0.2666537 -4.446552 ],NA,8192,12.655088186264038,0.3529850435216138,123
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,[-0.2137311 -0.2666537 -4.446552 ],NA,16384,8.814485549926758,0.36098470737631455,123
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,[-0.2588617 -0.3229373 -4.3506352],NA,8192,6.28555703163147,0.33716372677781165,124
