Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,random_seed
stability/PFASUM62_standardized_conv/standard,FHTConv1d,-0.25886170000000003_-1.6094379_-0.6469751,tune_details[1],152.33988881111145,67678.252,123
stability/PFASUM62_standardized_conv/standard,FHTConv1d,-0.25886170000000003_-1.6094379_-0.6264556,tune_details[1],145.94108986854553,67525.722,124
stability/PFASUM62_standardized_conv/standard,FHTConv1d,-0.25886170000000003_-1.6094379_-0.6233361000000001,tune_details[1],121.94036173820496,67657.766,125
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,-0.21373110000000003_-0.3074107999999998_-4.446552,tune_details[1],85.46847796440125,10344.93,123
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,-0.21373110000000003_-0.26665369999999994_-4.4947004,tune_details[1],83.14330410957336,10345.047,124
thermostability/conv_features/PFASUM62_standardized_conv/human,RBF,-0.21373110000000003_-0.34816780000000014_-4.4293677,tune_details[1],83.50303769111633,10369.823,125
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,-0.21373110000000003_-0.26665369999999994_-4.446552,tune_details[1],110.13687300682068,30760.772,123
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,-0.25886170000000003_-0.32293729999999987_-4.3506352,tune_details[1],98.00716090202332,30668.116,124
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,-0.21373110000000003_-0.28703220000000007_-4.4058475,tune_details[1],97.39254069328308,30802.578,125
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,-0.8072863_1.1731978_-3.8293091,tune_details[1],102.42369985580444,18838.422,123
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,-0.8072863_1.0965357_-3.7741765999999997,tune_details[1],92.54381346702576,19052.547,124
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,-0.8072863_1.2906169_-3.9056113,tune_details[1],91.87316966056824,19120.899,125
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,-0.852417_-1.4038768999999998_0.5116855999999999,tune_details[1],90.29092788696289,18264.313,123
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,-0.852417_-1.4158941_0.2728824,tune_details[1],91.63912510871887,17462.239,124
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,-0.852417_-1.4038768999999998_0.5116855999999999,tune_details[1],91.3013482093811,18347.646,125

