Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Tuning_Time,Num_func_evals,Fitting_Time,Spearmanr,MAE,optimizer
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-0.837291666666666_2.31_-0.9348766096231946,512,4096,7.290738582611084,32,2.011895179748535,0.9776873469326148,0.16650218577420828,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-0.837291666666666_2.31_-0.9348766096231946,512,8192,7.290738582611084,32,3.1883583068847656,0.9822343731520996,0.1506461774416184,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-0.837291666666666_2.31_-0.9348766096231946,512,16384,7.290738582611084,32,5.940118074417114,0.9860293346801459,0.1334348797666616,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-0.837291666666666_2.31_-0.9348766096231946,512,32768,7.290738582611084,32,11.142022132873535,0.9890896176185879,0.11857572623176858,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.154375_2.1453355000000003_-0.7470698411372441,1024,4096,17.27932071685791,32,2.686211109161377,0.9812157543783712,0.15289350945761698,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.154375_2.1453355000000003_-0.7470698411372441,1024,8192,17.27932071685791,32,4.6088175773620605,0.986947827749185,0.12968549481613473,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.154375_2.1453355000000003_-0.7470698411372441,1024,16384,17.27932071685791,32,8.8874032497406,0.9908588909431078,0.10977055483656079,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.154375_2.1453355000000003_-0.7470698411372441,1024,32768,17.27932071685791,32,16.94683313369751,0.9929611697337686,0.09708942897275076,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.467625_1.8446376666666664_-0.5571454538844924,2048,4096,63.65097379684448,32,3.787034273147583,0.9825476488835572,0.14761166841067228,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.467625_1.8446376666666664_-0.5571454538844924,2048,8192,63.65097379684448,32,6.898364305496216,0.9892969124187018,0.11780733970399962,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.467625_1.8446376666666664_-0.5571454538844924,2048,16384,63.65097379684448,32,13.585269689559937,0.993121709673777,0.09708209814565077,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.467625_1.8446376666666664_-0.5571454538844924,2048,32768,63.65097379684448,32,25.73679780960083,0.9946327852520749,0.08500337425127058,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.642625_1.654704333333333_-0.5504256097372743,4096,4096,181.7392921447754,32,3.7377212047576904,0.9825407481568867,0.1476291266968999,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.642625_1.654704333333333_-0.5504256097372743,4096,8192,181.7392921447754,32,6.863260269165039,0.9893222123331598,0.11767063853227322,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.642625_1.654704333333333_-0.5504256097372743,4096,16384,181.7392921447754,32,13.628809928894043,0.9931489701351401,0.09691460279119891,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.642625_1.654704333333333_-0.5504256097372743,4096,32768,181.7392921447754,32,25.37546181678772,0.9946545549399152,0.0848171482262431,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9877083333333325_1.606399666666666_-0.45458472008629913,8192,4096,851.8320620059967,32,5.389044523239136,0.982703922401624,0.14697459158982826,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9877083333333325_1.606399666666666_-0.45458472008629913,8192,8192,851.8320620059967,32,10.108067750930786,0.990059380829053,0.11280507401452869,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9877083333333325_1.606399666666666_-0.45458472008629913,8192,16384,851.8320620059967,32,20.06523323059082,0.9937248800503888,0.09200569425240622,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9877083333333325_1.606399666666666_-0.45458472008629913,8192,32768,851.8320620059967,32,38.228363037109375,0.9952056610657136,0.07898289799332724,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.1509583333333331_-0.45232366666666707_-2.5445133483041515,512,4096,23.38900089263916,32,12.249743223190308,0.558935047766964,0.5805629444926049,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.1509583333333331_-0.45232366666666707_-2.5445133483041515,512,8192,23.38900089263916,32,23.51138663291931,0.565431823201548,0.5759431095420116,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.1509583333333331_-0.45232366666666707_-2.5445133483041515,512,16384,23.38900089263916,32,44.69345045089722,0.5716698013562251,0.5716778601555422,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.1509583333333331_-0.45232366666666707_-2.5445133483041515,512,32768,23.38900089263916,32,89.65273404121399,0.5748542919083198,0.5691168756434577,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.574343_-2.4327954366461078,1024,4096,80.99590253829956,32,12.89697527885437,0.5586429853120467,0.5801951870229065,bayes
